tweet_id,Username,text,Artist,created_at
1650151362779291650,0xNxsh,Great weeknd to you bro,The Weeknd,2023-04-23 14:55:17+00:00
1650151192712957954,0xycontinn,Alternative title: The Weeknd and Future on any song together,The Weeknd,2023-04-23 14:54:37+00:00
1650150925753806851,RadioSupa,"Now Playing Metro Boomin, The Weeknd, Diddy &amp; Savage - Creepin' (Remix) (Clean) - -",The Weeknd,2023-04-23 14:53:33+00:00
1650150920087371778,Warrior_Sheena,I'm listening to Drake &amp; Weeknd - I'm On One / Trust Issues with Musi!,The Weeknd,2023-04-23 14:53:32+00:00
1650150713622757378,munchlingz,Tajy reply chart update (Artist) Nicki Minaj (+2) *New Peak minutes Sza (-1) *peak minutes Ice Spice (+2) *peak minutes The Weeknd (-2) *peak minutes Ariana Grande (-1) peak minutes,The Weeknd,2023-04-23 14:52:43+00:00
1650150582194429953,ZindoNow,". ""Heart on My Sleeve"" an AI-generated song that featured synthesized vocals of Drake and The Weeknd goes viral",The Weeknd,2023-04-23 14:52:11+00:00
1650150542411218945,vminiesbb,"very much like weeknd, lana del rey, labrinths music. jimin has that mysterious alluring attractive magnetic aura around him. the same description can be used for taehyung.",The Weeknd,2023-04-23 14:52:02+00:00
1650150472236277761,DanielGHajjar,"Some of these AI Arabic cover are wild. People are making Drake sing Omar Souleyman, The Weeknd sing Ya Tab Tab, Ariana Grande sing Haifa Wehbe, and now Rihanna sing Msaytara. This is getting out of pocket for real",The Weeknd,2023-04-23 14:51:45+00:00
1650150439088693249,NicotineShawtyy,The Weeknd - Same Old Song,The Weeknd,2023-04-23 14:51:37+00:00
1650150438266716161,Warrior_Sheena,I'm listening to The Weeknd - Trust Issues (Remix) with Musi!,The Weeknd,2023-04-23 14:51:37+00:00
1650150395421904897,midorilemon,Milano per The Weeknd se non cambio idea,The Weeknd,2023-04-23 14:51:27+00:00
1650150090684735488,Weeknd_ackerman,Speak now top Taylor albums ever,The Weeknd,2023-04-23 14:50:14+00:00
1650150015078129673,Weeknd_ackerman,Kissland,The Weeknd,2023-04-23 14:49:56+00:00
1650149841589407744,linphrodite,"Taylor Swift, Lana Del Rey, the Weeknd, Keshi &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;",The Weeknd,2023-04-23 14:49:15+00:00
1650149666087124993,bguciaga,"the weeknd, lany, keshi,cigarettes after sex, blackbear, max, the , ariana grande, sza, troye sivan, honne, coldplay, bts, chase atlantic, bazzi, paloma faith, sam smith, james arthur, dhruv, banyak",The Weeknd,2023-04-23 14:48:33+00:00
1650149646340112386,Weeknd_ackerman,Shades of coolUltraviolence West coast,The Weeknd,2023-04-23 14:48:28+00:00
1650149371487596544,Vplant012,I honestly cant imagine life without The Weeknd music,The Weeknd,2023-04-23 14:47:23+00:00
1650149258975227904,Weeknd_ackerman,Agreeed!!!,The Weeknd,2023-04-23 14:46:56+00:00
1650148909891584000,OsuSniper,"[ AwE ] [] has sniped MBmasher [] on Seth Everman - how to create the weeknd's ""blinding lights"" [mario and bowser kissing (illegal)] . This play is worth pp getting % accuracy. Mods:HD HR DT FL.",The Weeknd,2023-04-23 14:45:33+00:00
1650148886374227972,yancyrio,I understand now why I love The Weeknd and laroi so much its bc theyre in my vocal range and theyre both singsongy and fun lyrically,The Weeknd,2023-04-23 14:45:27+00:00
1650148846008238080,Zero18414130,No wonder that song sounded horrible. Thank GOD The Weeknd saved it.,The Weeknd,2023-04-23 14:45:17+00:00
1650148838613606401,Hits93Toronto,Now Playing: Can't Feel My Face by The Weeknd.,The Weeknd,2023-04-23 14:45:16+00:00
1650148758330707968,heechrist_,moth to a flame - the weeknd,The Weeknd,2023-04-23 14:44:56+00:00
1650148624544800769,G0t0pti0ns,Spotify Global Daily Top Songs DAY The Weeknd Feat Future Double Fantasy (-11) Streams~~~~~~~HELL~~~~~~~Kim Petras Feat Nicki Minaj Alone (-109) Streams,The Weeknd,2023-04-23 14:44:25+00:00
1650148423327432705,kunigamni,"the weeknd, taylor swift, yoasobi, the , conan gray",The Weeknd,2023-04-23 14:43:37+00:00
1650148347338948608,feer_cruz,Ey ey pero pongan a The Weeknd,The Weeknd,2023-04-23 14:43:18+00:00
1650148136638357504,haeminkoo,HEAVY on The Weeknd,The Weeknd,2023-04-23 14:42:28+00:00
1650148038709501952,jungkooksdraws,like the weeknd and beyonce ?? we all know,The Weeknd,2023-04-23 14:42:05+00:00
1650147768340447234,CARAMELVISCERAL,just heard the new weeknd song and i swear hes made the same song like timez,The Weeknd,2023-04-23 14:41:00+00:00
