tweet_id,Username,text,Artist,created_at,sentiment,polarity
1647394909882548225,salivatsaleman,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-16 00:22:08+00:00,neutral,0.0
1647390073711898624,patwandersaway,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-16 00:02:55+00:00,neutral,0.0
1647388596859727872,MagnoofBTC,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:57:03+00:00,neutral,0.0
1647387123656560642,crustycryptobro,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:51:11+00:00,neutral,0.0
1647386317444255751,AnimeTweakCity,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:47:59+00:00,neutral,0.0
1647385628286541824,TaeylorHawk,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:45:15+00:00,neutral,0.0
1647385625195319296,cryptomindbot,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:45:14+00:00,neutral,0.0
1647384106576257024,dhandyfernandes,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:39:12+00:00,neutral,0.0
1647382097810845697,senselesssimpr,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:31:13+00:00,neutral,0.0
1647381108248686593,MikaelHigorr,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:27:17+00:00,neutral,0.0
1647377362508566532,seansanddro,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:12:24+00:00,neutral,0.0
1647375447280484352,searchtroodahC,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:04:48+00:00,neutral,0.0
1647374499808169985,Web3PandaJS,"RT @ejbinvestments: The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits coll…",The Weeknd,2023-04-15 23:01:02+00:00,neutral,0.0
1647374337211604992,ejbinvestments,"The Canadian singer-songwriter, born Abel Makkonen Tesfaye, reigns atop the newly-unveiled list with his 2021 hits… https://t.co/PaqWtA4exl",The Weeknd,2023-04-15 23:00:23+00:00,neutral,0.0
1647082877799268353,zay_zay017,There's only one man I need in my life and his name is Abel Makkonen Tesfaye 🖤,The Weeknd,2023-04-15 03:42:14+00:00,neutral,0.0
1646969121983156234,iYara_twt,RT @iYara_twt: @abelsinitation same heree i love his name so much and its even beautiful. Abel Makkonen Tesfaye..what beautiful name,The Weeknd,2023-04-14 20:10:12+00:00,positive,0.48
1646941259494461444,kermiiiiiiina,the weeknds full name is abel makkonen tesfaye ?????????????????? bffr why did NONE OF U WEEKND OBSESSED MFS TELL ME THIS,The Weeknd,2023-04-14 18:19:29+00:00,negative,-0.07500000000000001
1646936133052375041,reeksofmytears,I HAVE SOME THINGS TO SAY OMFG ABEL MAKKONEN TESFAYE PLEASE😭🙌🏽🙌🏽🙌🏽🧎🏽‍♀️🧎🏽‍♀️😍😍😍😘😘 https://t.co/QfgYl4ZCyy,The Weeknd,2023-04-14 17:59:07+00:00,neutral,0.0
1646920359046975489,hypnoslave247,"Abel Makkonen Tesfaye, I noticed the change in rhetoric on press releases to focus on female perspective awhile bac… https://t.co/lOYMATI9gv",The Weeknd,2023-04-14 16:56:26+00:00,neutral,0.0
1646877075427426304,iYara_twt,@abelsinitation same heree i love his name so much and its even beautiful. Abel Makkonen Tesfaye..what beautiful name,The Weeknd,2023-04-14 14:04:26+00:00,positive,0.48
1646449731726462977,Indianmaharaja,"This can be basically be a movie but decided to be a series 💀
Abel Makkonen Tesfaye which some of you dont know as… https://t.co/LqhUK8ynjc",The Weeknd,2023-04-13 09:46:20+00:00,neutral,0.0
1646141240763731978,Cheluchi16,I WAS RIGHT 😥.    ABEL MAKKONEN TESFAYE U WILL BE CHARGED FOR YOUR CRIME OF 'FOOLERY TOWARDS THE XO COMMUNITY'!!! U… https://t.co/wIkMZrqUmi,The Weeknd,2023-04-12 13:20:30+00:00,positive,0.5580357142857142
1646134527247392769,Cheluchi16,@stxorgirl ABEL MAKKONEN TESFAYE YOU WILL ANSWER FOR YOUR CRIMES,The Weeknd,2023-04-12 12:53:49+00:00,neutral,0.0
1645623256529993729,marlena_renee1,RT @SmokeyXO4: ABEL MAKKONEN TESFAYE YOU ARE MAKING ME BUST A NUT AT 4AM YOU HAVE DONE MIRACLES ON ME😭😭😭😭😭 https://t.co/NAxkCnjxFS,The Weeknd,2023-04-11 03:02:13+00:00,neutral,0.0
1645621926268657665,SmokeyXO4,ABEL MAKKONEN TESFAYE YOU ARE MAKING ME BUST A NUT AT 4AM YOU HAVE DONE MIRACLES ON ME😭😭😭😭😭 https://t.co/NAxkCnjxFS,The Weeknd,2023-04-11 02:56:56+00:00,neutral,0.0
1645455738175889408,kingslayeur,That's his real name. Abel Makkonen Tesfaye. https://t.co/wfH8Qo7zwg,The Weeknd,2023-04-10 15:56:33+00:00,positive,0.2
1645179373480300552,urcassong,in love with abel makkonen tesfaye https://t.co/8DgGOOmdOI,The Weeknd,2023-04-09 21:38:23+00:00,positive,0.5
1645128642509537281,salbutamol2mg,"1. the weeknd
2. abel
3. makkonen
4. tesfaye
5. drake/bruno mars

kl bisa nonton the weeknd sampe pusing knp ngga👍🏼 https://t.co/I7lmWe9C7m",The Weeknd,2023-04-09 18:16:48+00:00,neutral,0.0
1645110985945120768,yvngpoison,@Cheluchi16 “Back to my ways ‘cause I’m heartless” - Abel Makkonen Tesfaye,The Weeknd,2023-04-09 17:06:38+00:00,neutral,0.0
1644988533122166784,mikerosario2003,"@theweeknd Abel Makkonen Tesfaye
 Give us the album this year pls",The Weeknd,2023-04-09 09:00:03+00:00,neutral,0.0
1644970875601530880,PLAYradioiraq,"It's official: The Weeknd is the most
popular artist in the world. The singer-songwriter, whose real name is Abel M… https://t.co/NDNaQlHFiw",The Weeknd,2023-04-09 07:49:53+00:00,positive,0.43333333333333335
1644483436663431169,Powerofafrica_,"The Weeknd, who goes by the name, Abel Makkonen Tesfaye is the only child of Ethiopian immigrants Makkonen Tesfaye… https://t.co/hwOZwmqZLK",The Weeknd,2023-04-07 23:32:58+00:00,neutral,0.0
1644355898024906755,nftscimages,"RT @nftscimages: I dedicated this #NFT  to Abel Makkonen Tesfaye known professionally as #TheWeeknd , @theweeknd  is a Canadian singer and…",The Weeknd,2023-04-07 15:06:11+00:00,positive,0.1
